id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
0,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,2,2,450000,Pereira Feitosa
1,Apartamento,Venda,São Luís/MA,Renascença,3,1,1,350000,Pereira Feitosa
2,Apartamento,Venda,São Luís/MA,Calhau,3,0,1,285000,Pereira Feitosa
3,Apartamento,Venda,São Luís/MA,Calhau,0,2,2,260000,Pereira Feitosa
4,Casa,Venda,São Luís/MA,Apeadouro,2,1,3,400000,Pereira Feitosa
5,Casa,Venda,São Luís/MA,Centro,2,0,0,170000,Pereira Feitosa
6,Casa,Venda,São Luís/MA,Fátima,2,0,1,200000,Pereira Feitosa
7,Casa,Venda,São Luís/MA,Araçagi,3,3,3,495000,Pereira Feitosa
8,Casa,Venda,São José de Ribamar/MA,Maiobão,2,0,0,105000,Pereira Feitosa
9,Apartamento,Venda,São Luís/MA,Ponta da areia,1,0,1,220000,Pereira Feitosa
10,Apartamento,Venda,São Luís/MA,Cohafuma,2,0,1,150000,Pereira Feitosa
11,Apartamento,Venda,São Luís/MA,Jardim Renascença,0,0,2,490000,Pereira Feitosa
12,Casa,Venda,São Luís/MA,São Francisco,4,0,1,350000,Pereira Feitosa
13,Casa,Venda,São Luís/MA,Turu,1,1,2,320000,Pereira Feitosa
14,Casa,Venda,São Luís/MA,Cohajap,0,0,0,700000,Pereira Feitosa
15,Apartamento,Venda,São Luís/MA,Calhau,2,1,0,280000,Pereira Feitosa
16,Apartamento,Venda,São José de Ribamar/MA,Maiobinha,1,1,0,185000,Pereira Feitosa
17,Apartamento,Venda,São José de Ribamar/MA,Maiobinha,1,1,1,185000,Pereira Feitosa
18,Apartamento,Venda,São José de Ribamar/MA,Maiobinha,1,1,1,185000,Pereira Feitosa
19,Apartamento,Venda,São José de Ribamar/MA,Renascer,1,1,1,185000,Pereira Feitosa
20,Apartamento,Venda,São José de Ribamar/MA,Maiobinha,1,1,1,185000,Pereira Feitosa
21,Apartamento,Venda,São José de Ribamar/MA,Maiobinha,1,1,0,185000,Pereira Feitosa
22,Casa,Venda,São Luís/MA,São Francisco,3,0,0,570000,Pereira Feitosa
23,Apartamento,Venda,São José de Ribamar/MA,Renascer,1,1,1,185000,Pereira Feitosa
24,Apartamento,Venda,São José de Ribamar/MA,Maiobinha,1,1,0,185000,Pereira Feitosa
25,Apartamento,Venda,São Luís/MA,Chácara Brasil,2,0,1,90000,Pereira Feitosa
26,Apartamento,Venda,São Luís/MA,Turu,2,0,1,145000,Pereira Feitosa
27,Apartamento,Venda,São Luís/MA,Parque Shalon,1,1,1,280000,Pereira Feitosa
28,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,1,350000,Pereira Feitosa
29,Casa,Venda,São Luís/MA,Cohama,5,0,1,340000,Pereira Feitosa
30,Casa,Venda,São Luís/MA,Residencial Paraíso,3,2,3,380000,Pereira Feitosa
31,Apartamento,Venda,São Luís/MA,Olho D Água,6,4,4,900000,Pereira Feitosa
32,Casa,Venda,São Luís/MA,Araçagi,4,3,3,3100,Pereira Feitosa
33,Casa,Venda,São Luís/MA,Cohaserma,2,1,2,500000,Pereira Feitosa
34,Casa,Venda,São José de Ribamar/MA,Araçagy,3,2,6,330000,Pereira Feitosa
35,Casa,Venda,São Luís/MA,Divinéia,2,1,0,150000,Pereira Feitosa
36,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,2,480000,Pereira Feitosa
37,Apartamento,Venda,São Luís/MA,Ponta do Farol,3,3,2,590000,Pereira Feitosa
38,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,2,2,390000,Pereira Feitosa
39,Apartamento,Venda,São Luís/MA,Filipinho,0,0,0,110000,Pereira Feitosa
40,Apartamento,Venda,São Luís/MA,Turu,2,1,0,240000,Pereira Feitosa
41,Casa,Venda,São Luís/MA,Recanto Vinhais,7,1,8,1100000,Pereira Feitosa
42,Apartamento,Venda,São Luís/MA,Ponta D Areia,5,3,3,1250000,Pereira Feitosa
